sample,t,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,dh_1,dh_2,dh_3,dh_4,dh_5,dh_6
358.0,7.160194642000079,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.08544921875,1.72119140625,0.403594970703125,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.08544921875,-1.593483919552323,0.403594970703125
359.0,7.180118744000083,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.0858306884765625,1.7208099365234375,0.3902435302734375,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.0858306884765625,-1.5931024498257604,0.3902435302734375
360.0,7.2000607710000395,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.0850677490234375,1.72119140625,0.368499755859375,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.0850677490234375,-1.593483919552323,0.368499755859375
361.0,7.220011394000039,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.0850677490234375,1.7208099365234375,0.3314971923828125,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.0850677490234375,-1.5931024498257604,0.3314971923828125
362.0,7.240296342000079,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.0850677490234375,1.7208099365234375,0.2918243408203125,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.0850677490234375,-1.5931024498257604,0.2918243408203125
363.0,7.260159890000068,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.0850677490234375,1.72119140625,0.2445220947265625,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.0850677490234375,-1.593483919552323,0.2445220947265625
364.0,7.280372809000028,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.0850677490234375,1.72119140625,0.19073486328125,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.0850677490234375,-1.593483919552323,0.19073486328125
365.0,7.300252564000061,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.08544921875,1.72119140625,0.1316070556640625,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.08544921875,-1.593483919552323,0.1316070556640625
366.0,7.3201203980000855,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.08544921875,1.7215728759765625,0.0675201416015625,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.08544921875,-1.5938653892788854,0.0675201416015625
367.0,7.34005215600007,-1.515960693359375,-0.00152587890625,-0.0095367431640625,-0.08544921875,1.7215728759765625,-0.01678466796875,-3.086757020154275,2.73057412109375,-1.5793534119862576,-0.08544921875,-1.5938653892788854,-0.01678466796875
